,MODEL,Region,Scenario,Year,Total_CO2,Total_GHG,TOTAL_CDR,CO2_Emissions,CUM_CO2,cumPopulation,CUM_CDR,GDP_cap,CUM_CDR_fair_share_by_GDP,CUM_CDR_fair_share_by_CUM_POP,CUM_CDR_model_vs_fair_share_by_CUM_POP,CUM_CDR_model_vs_fair_share_by_GDP
0,IMAGE,CHN,SSP1-19-SPA0-V17,2020,8231.71,10271.13,209.6,10480.73,248309.78,40314.61,209.6,17.53,479.07,15.67,-193.94,269.47
1,IMAGE,CHN,SSP1-19-SPA0-V17,2030,5564.85,6916.58,649.54,7566.12,338544.05,54371.62,4505.34,32.7,10360.93,1902.85,-2602.48,5855.59
2,IMAGE,CHN,SSP1-19-SPA0-V17,2040,1181.27,2246.08,1097.12,3343.2,393090.66,68118.6,13238.67,49.73,32220.38,7503.97,-5734.7,18981.71
3,IMAGE,CHN,SSP1-19-SPA0-V17,2050,25.23,955.49,1232.73,2188.22,420747.76,81182.16,24887.94,64.57,61187.9,15339.27,-9548.67,36299.96
4,IMAGE,CHN,SSP1-19-SPA0-V17,2060,-518.1,304.02,1475.25,1779.27,440585.18,93269.73,38427.84,75.57,94601.25,26294.98,-12132.86,56173.42
5,IMAGE,CHN,SSP1-19-SPA0-V17,2070,-672.88,92.16,1541.21,1633.37,457648.35,104205.43,53510.14,84.71,134911.91,41605.92,-11904.21,81401.78
6,IMAGE,CHN,SSP1-19-SPA0-V17,2080,-940.3,-224.75,1594.94,1370.2,472666.17,113925.77,69190.92,92.27,181780.1,61956.47,-7234.45,112589.18
7,IMAGE,CHN,SSP1-19-SPA0-V17,2090,-978.94,-323.94,1506.92,1182.98,485432.08,122424.03,84700.26,99.9,233857.31,87169.66,2469.4,149157.05
8,IMAGE,CHN,SSP1-19-SPA0-V17,2100,-1178.83,-561.34,1603.11,1041.77,496555.85,129702.7,100250.43,108.66,291956.9,118292.93,18042.5,191706.47
9,IMAGE,IND,SSP1-19-SPA0-V17,2020,1970.5,2861.91,44.08,2905.99,60334.25,35150.27,44.08,5.04,0,0,-44.08,-44.08
10,IMAGE,IND,SSP1-19-SPA0-V17,2030,1266.66,2010.75,215.55,2226.3,85995.71,49134.75,1342.24,9.03,0,0,-1342.24,-1342.24
11,IMAGE,IND,SSP1-19-SPA0-V17,2040,450.47,1103.12,269.88,1373.01,103992.26,63924.41,3769.41,15.45,0,0,-3769.41,-3769.41
12,IMAGE,IND,SSP1-19-SPA0-V17,2050,247.34,858.71,368.48,1227.2,116993.28,79167.63,6961.25,23.6,0,0,-6961.25,-6961.25
13,IMAGE,IND,SSP1-19-SPA0-V17,2060,90.79,695.41,454.15,1149.56,128877.05,94473.29,11074.4,32.9,0,0,-11074.4,-11074.4
